Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Icon,Official Brand Partner?
DormDepot,dormdepot,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af19,false,false,Tue Jul 07 2026 07:34:58 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:05:42 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a4c9ad25940ef5baefbcc2a/6a546df048dc54aff9059aeb_dorm.png,false
CampusMarket,campusmarket,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1a,false,false,Tue Jul 07 2026 07:35:13 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:05:01 GMT+0000 (Coordinated Universal Time),,,false
UniSupplies,unisupplies,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1b,false,false,Tue Jul 07 2026 07:35:30 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:57 GMT+0000 (Coordinated Universal Time),,,false
HomeZone,homezone,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1c,false,false,Tue Jul 07 2026 07:35:41 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:53 GMT+0000 (Coordinated Universal Time),,,false
HomeStyle,homestyle,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1d,false,false,Tue Jul 07 2026 07:36:09 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:50 GMT+0000 (Coordinated Universal Time),,,false
CleanHome,cleanhome,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1e,false,true,Tue Jul 07 2026 07:36:15 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:43 GMT+0000 (Coordinated Universal Time),,,false
SleepWell,sleepwell,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af1f,false,false,Tue Jul 07 2026 07:36:52 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:39 GMT+0000 (Coordinated Universal Time),,,false
KitchenPro,kitchenpro,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af20,false,false,Tue Jul 07 2026 07:37:15 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:35 GMT+0000 (Coordinated Universal Time),,,false
BathEssentials,bathessentials,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af21,false,false,Tue Jul 07 2026 07:37:25 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 15:04:30 GMT+0000 (Coordinated Universal Time),,,false
DormCo,dormco,6a592ebb3ecadecfd0d7aebe,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af22,false,false,Mon Jul 13 2026 14:54:19 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:54:19 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a4c9ad25940ef5baefbcc2a/6a54fc18b302a8d4517f1e92_dormoco%20logo.png,true
